Key,Value
Title,Software Engineer (Platform)
Mission,Design training and inference pipelines for LLMs and develop enterprise applications incorporating them
Task,"- Design training and inference pipelines
- Develop enterprise applications incorporating LLMs"
Term,08/2023/08 - 04/2024
Team Size,8
Type,Freelance
