Key,Value
Title,Site Reliability Engineer
Mission,"As a cross-functional global team, develop custom metrics and distributed tracing to enhance the reliability of a distributed system operating across 12k+ servers and processing 80M+ events/sec"
Task,"- Ovservability Development: Develop custom metrics and distributed tracing to improve observability
- Incident Response: Troubleshoot cross-microservices issues to identify the root cause"
Term,10/2024 - 03/2025
Team Size,5
Type,Permanent
