Key,Value
Company,Cybereason Inc.
Employee,1000+
Founded,2012
Web Site,https://www.cybereason.com/
Description,"A global cybersecurity company operating in 40+ countries, providing EDR, XDR, and MDR solutions to combat cyberattacks"
Location,"San Diego, US - Japan Office"
