Key,Value
Company,Eukarya Inc.
Employee,50+
Founded,2017
Web Site,https://eukarya.io/
Description,"Eukarya develops Re:Earth (an open-source WebGIS platform), which has been adopted as the base system for a project led by the Japanese Ministry of Land"
Location,"Tokyo, Japan"
