Key,Value
Title,CTO / Software Engineer (Backend)
Mission,"As a CTO, lead the development team of 8 members for enterprise applications, personally writing 100k+ lines backend codes from scratch"
Task,"- Feature Development
- Introduce SRE practices"
Term,04/2018/04 - 09/2024
Team Size,8
Type,Permanent
