Key,Value
Title,Site Reliability Engineer
Mission,"As an embedded SRE, design and develop AI/LLM applications for the largest financial institutions in Japan"
Task,"- Feature Development
- Incident Response"
Term,04/2024 - 09/2024
Team Size,8
Type,Freelance
