Value,Tag
Azure AI Document Intelligence,Backend
Azure AI Search,Backend
Azure OpenAI,Backend
FastAPI,Backend
GraphQL,Backend
PostgreSQL,Backend
Python,Backend
Redis,Backend
AWS,Infrastructure
Azure,Infrastructure
Terraform,Infrastructure
Next.js,Frontend
React,Frontend
